mayesh_product_id,mayesh_product_name,ibf_product_id,ibf_product_name,similarity_score
487748,Rose Tiffany Peach,9aa80507-45f2-4226-b8a1-bcd1c07a82b6,Roses Tiffany Peach,0.959
487749,Rose Tiffany Peach,9aa80507-45f2-4226-b8a1-bcd1c07a82b6,Roses Tiffany Peach,0.959
487750,Rose Tiffany Peach,9aa80507-45f2-4226-b8a1-bcd1c07a82b6,Roses Tiffany Peach,0.959
487967,Rose Garden Alabaster White,2aa7d01b-76f2-4753-b19b-6a35b201771a,Garden Roses Alabaster White,0.958
514234,Carnation Golem Purple Fancy,c880b3d4-f5e9-4f9f-9039-66d3e923d418,Carnation Golem Purple,0.957
515967,Kangaroo Paw Red,e82aee1a-5411-48c4-bcd3-687852b73a4e,Kangaroo Paws Red,0.957
486467,Rose Freedom Red,bb8c5298-179b-4c2b-a57a-de0b14efa71b,Roses Freedom Red,0.957
486468,Rose Freedom Red,bb8c5298-179b-4c2b-a57a-de0b14efa71b,Roses Freedom Red,0.957
486469,Rose Freedom Red,bb8c5298-179b-4c2b-a57a-de0b14efa71b,Roses Freedom Red,0.957
486470,Rose Freedom Red,bb8c5298-179b-4c2b-a57a-de0b14efa71b,Roses Freedom Red,0.957
486471,Rose Freedom Red,bb8c5298-179b-4c2b-a57a-de0b14efa71b,Roses Freedom Red,0.957
484228,Calla Lily Mini Orange,88e3dead-38f7-4d6f-8a5d-6b33b5baac70,Mini Calla Orange,0.956
485205,Hydrangea Mojito Green Small,e2ded6cb-7c73-45b9-9d40-62da9a4c1d81,Hydrangea Mojito Mini Green,0.956
515963,Kangaroo Paw Green,294fcb35-0f00-4b42-aa73-7b7b9978e029,Kangaroo Paws Green,0.956
488352,Rose Garden Ohara Light Pink,094aabaf-7503-4e24-b7a8-e8b8c984b95d,Garden Roses Ohara Light Pink,0.956
488352,Rose Garden Ohara Light Pink,094aabaf-7503-4e24-b7a8-e8b8c984b95d,Garden Roses Ohara Light Pink,0.956
488353,Rose Garden Ohara Light Pink,094aabaf-7503-4e24-b7a8-e8b8c984b95d,Garden Roses Ohara Light Pink,0.956
617839,Rose Garden Princess Miyuki White,f7bfae99-ee27-421d-ae8b-f4d85ac82725,Garden Roses Princess Miyuki White,0.956
643952,Delphinium Sea Waltz Dark Blue,e0089c8c-6245-41a3-b61c-9c07e0642f2d,Delphinium Sea Waltz Medium Blue,0.955
643952,Delphinium Sea Waltz Dark Blue,e0089c8c-6245-41a3-b61c-9c07e0642f2d,Delphinium Sea Waltz Medium Blue,0.955
643954,Delphinium Sea Waltz Dark Blue,e0089c8c-6245-41a3-b61c-9c07e0642f2d,Delphinium Sea Waltz Medium Blue,0.955
643954,Delphinium Sea Waltz Dark Blue,e0089c8c-6245-41a3-b61c-9c07e0642f2d,Delphinium Sea Waltz Medium Blue,0.955
643955,Delphinium Sea Waltz Dark Blue,e0089c8c-6245-41a3-b61c-9c07e0642f2d,Delphinium Sea Waltz Medium Blue,0.955
515968,Kangaroo Paw Yellow,fb8dd0c9-6013-4f9c-b301-2e263a1677b0,Kangaroo Paws Yellow,0.955
700767,Rose High & Orange Magic Orange,f8d3754c-6b4e-4d92-9b05-8073d9b6ad0d,Roses High Magic Orange,0.954
700768,Rose High & Orange Magic Orange,f8d3754c-6b4e-4d92-9b05-8073d9b6ad0d,Roses High Magic Orange,0.954
627864,Sunflower Miniature Yellow,4094dd61-066a-4fe6-8c1c-72d1e0480d07,Sunflower Mini Yellow,0.954
627864,Sunflower Miniature Yellow,4094dd61-066a-4fe6-8c1c-72d1e0480d07,Sunflower Mini Yellow,0.954
4265364,Rose Fortune Red,38f1ddf7-1b66-443e-9fb2-3e1007a9f150,Roses Fortune Red,0.953
4265411,Rose Fortune Red,38f1ddf7-1b66-443e-9fb2-3e1007a9f150,Roses Fortune Red,0.953
758195,Viburnum Foliage Lucidum Green,9ad36cde-c1a3-4ea6-a8c8-9edaf3ca59d0,Viburnum Lucidum Foliage Green,0.953
484739,Carnation Light Pink Fancy,9f356a84-cfc6-4e69-921c-007dcfffba64,Carnation Light Pink,0.952
520130,Hydrangea Antique Blue/Green Jumbo,9855007c-489a-4b17-93c3-39127729f760,Hydrangea Antique Jumbo Blue,0.952
1256543,Rose Andrea Lavender,bb76cd81-c9e8-4eb9-ad8d-ec34c091cdf1,Roses Andrea Lavender,0.952
490708,Lily Asiatic Orange,aaf2f395-c7d6-45d3-a65d-9f905e3aad7e,Lilies Asiatic Orange,0.951
490708,Lily Asiatic Orange,aaf2f395-c7d6-45d3-a65d-9f905e3aad7e,Lilies Asiatic Orange,0.951
485574,Rose Lavender,0a54c97a-db7c-472a-9654-828d3c8e7a1b,Roses Lavender,0.951
485575,Rose Lavender,0a54c97a-db7c-472a-9654-828d3c8e7a1b,Roses Lavender,0.951
485576,Rose Lavender,0a54c97a-db7c-472a-9654-828d3c8e7a1b,Roses Lavender,0.951
1311112,Scabiosa Focal Scoop Lavender,252a5b2b-ef57-4bbb-a146-09dcc5114246,Scabiosa Scoop Lavender,0.951
1311113,Scabiosa Focal Scoop Lavender,252a5b2b-ef57-4bbb-a146-09dcc5114246,Scabiosa Scoop Lavender,0.951
488077,Rose Garden Catalina Yellow,06a5831f-2d31-4a36-969f-15554b8c0434,Garden Roses Catalina Yellow,0.95
488077,Rose Garden Catalina Yellow,06a5831f-2d31-4a36-969f-15554b8c0434,Garden Roses Catalina Yellow,0.95
486639,Rose High & Exotic Yellow,dc7d08f2-2f09-4a9a-925d-aa0a405e994c,Roses High Exotic Yellow,0.95
486640,Rose High & Exotic Yellow,dc7d08f2-2f09-4a9a-925d-aa0a405e994c,Roses High Exotic Yellow,0.95
1406393,Rose Lorraine Light Pink,f194a18a-2329-407d-9f22-ff14d6646a9a,Roses Lorraine Light Pink,0.95
1406394,Rose Lorraine Light Pink,f194a18a-2329-407d-9f22-ff14d6646a9a,Roses Lorraine Light Pink,0.95
1406395,Rose Lorraine Light Pink,f194a18a-2329-407d-9f22-ff14d6646a9a,Roses Lorraine Light Pink,0.95
484937,Carnation Novia Peach Fancy,0db2a31e-87ca-4ac6-b067-4276beebd94a,Carnation Novia Peach,0.949
514238,Carnation Orange Hermes Orange Fancy,4eeddf00-be01-4974-973f-252facd67594,Carnation Hermes Orange,0.949
3820618,Delphinium Elatum Manuela Lavender,f0607694-8fe0-4144-92c7-83ad1f0a8d64,Delphinium Elatum Lavender,0.949
490251,Rose Brighton Yellow,6cf94d7e-0d53-4cf4-b734-d3909bda388d,Roses Brighton Yellow,0.949
512849,Rose Brighton Yellow,6cf94d7e-0d53-4cf4-b734-d3909bda388d,Roses Brighton Yellow,0.949
512850,Rose Brighton Yellow,6cf94d7e-0d53-4cf4-b734-d3909bda388d,Roses Brighton Yellow,0.949
512852,Rose Brighton Yellow,6cf94d7e-0d53-4cf4-b734-d3909bda388d,Roses Brighton Yellow,0.949
1090486,Spray Rose Bali Light Peach,51b9ef8f-7ef2-4238-ad2a-5672e3041940,Spray Roses Bali Peach,0.948
484419,Calla Lily Mini Garnet Glow Hot Pink,dca9ddbe-eda1-4b58-b187-79b7d1201259,Mini Calla Garnet Glow Pink,0.946
513552,Delphinium Hybrid Dark Blue,72374ff4-b215-41db-b036-d8477fae53ee,Delphinium Hybrid Benarys Pacific Dark Blue,0.946
12851921,Delphinium Hybrid Dark Blue,72374ff4-b215-41db-b036-d8477fae53ee,Delphinium Hybrid Benarys Pacific Dark Blue,0.946
513118,Rose Pink Mondial Light Pink,452eeb34-2851-4dd6-82ae-a37402468c65,Roses Mondial Light Pink,0.946
