ibf_product_name,variety_key,name,color_name_cleaned,variety_cleaned
Eucalyptus Diamond Green,ba9282a1-e10c-492b-b808-238fbdc283fa,Eucalyptus Diamond green,Green,Eucalyptus Diamond
Limonium California Lavender,731400de-3bf0-4e1d-ab84-e280444344ca,Limonium California lavender,Lavender,Limonium California
Ranunculus Light Pink,8dec5f0d-1ec9-4914-a540-0335e5c6933c,Ranunculus Light Pink pink - light,Light Pink,Ranunculus
Snapdragons Yellow,0a7db376-3513-45ad-8f4e-3f382fe8f0eb,Snapdragons Yellow yellow,Yellow,Snapdragons
Garden Roses Country Home Peach,20931a27-307b-4ad2-bc71-f0f441d197ff,Garden Roses Country Home peach,Peach,Garden Roses Country Home
Chrysanthemum Spray Pom Daisy Atlantis White,40666288-9c1b-4abf-9c57-0004c80f7ec3,Chrysanthemum Spray Pom Daisy atlantis White white,White,Chrysanthemum Spray Pom Daisy Atlantis
Garden Roses Mixed,491c2308-09e4-49e5-8dc5-064ac1a23f46,Garden Roses Assorted mixed,Mixed,Garden Roses
Mini Calla Burgundy,c97b9f96-1e84-4d4e-b706-b025a80ea4c8,Mini Calla Burgundy burgundy,Burgundy,Mini Calla
Strelitzia Birds Of Paradise Orange,441361b3-347d-4e8e-bddd-a49a188c45ad,Strelitzia Birds Of Paradise orange,Orange,Strelitzia Birds Of Paradise
Star Thistle Lagoon Blue,6472aed1-0759-4593-a049-8a9c3c4b690a,Star Thistle Blue Lagoon blue,Blue,Star Thistle Lagoon
Viburnum Lucidum Foliage Green,9ad36cde-c1a3-4ea6-a8c8-9edaf3ca59d0,Viburnum Lucidum Foliage green,Green,Viburnum Lucidum Foliage
Amaranthus Hot Biscuits Brown Light Brown,d7916763-84b1-41a1-b5c3-0005465f132d,Amaranthus Hot Biscuits brown - light,Light Brown,Amaranthus Hot Biscuits Brown
Stock Mid Purple,7dfbbfc6-f941-4da2-b4b1-d9f9ea940472,Stock Mid Purple purple,Purple,Stock Mid
Chrysanthemum Disbuds White,d1cbacba-083e-4693-9a59-f35e6fa1e157,Chrysanthemum Disbuds/ Mums Cremon Salma white,White,Chrysanthemum Disbuds
Anemone Mistral Plus Pink,e966b52b-5ce1-4da2-87f0-7c98a53baee9,Anemone Mistral Plus Hot Pink pink - multiple,Pink,Anemone Mistral Plus
Carnation Clorophyla Light Green,d2609df8-b96b-4a7b-ad48-694beb16e732,Carnation Clorophyla green - light,Light Green,Carnation Clorophyla
Anemone Mistral Plus Dark Dark Blue,a8aeeeb0-cbf9-43f8-823d-0f4e86c5f9b4,Anemone Mistral Plus Dark Blue (color is purple/ blue) blue - dark,Dark Blue,Anemone Mistral Plus Dark
Roses Sahara Cream,aa0dc9a8-b4f1-45ea-85a4-1c6fd9b55209,Roses Sahara cream,Cream,Roses Sahara
Hydrangea Mini Green,c0fec9c6-6759-4451-bf4e-8b13b3312bf0,Hydrangea Mini Green green,Green,Hydrangea Mini
Roses Mixed,5cc175eb-3943-4383-a36e-17befb0d421d,"Roses Assorted (25 Deep Purple, Cherry Oh, Free Spirit, Kahala) mixed",Mixed,Roses
Salal Tips Green,7ba2b9f4-4ea4-4620-946d-d9228d4adff0,Salal Tips green,Green,Salal Tips
Roses Mixed,9d18c765-000d-4979-afb5-3f29c090a635,"Roses Assorted (25 Freedom, Pink Mondial, Tara, Mondial) mixed",Mixed,Roses
Spray Roses Folies Pink,c20aed2b-f047-4e4c-a8c4-186db5522979,Spray Roses Hot Pink Folies pink - multiple,Pink,Spray Roses Folies
Spray Roses Sweet Sensation Pink,d026bdec-0029-4196-95e6-593258c4dd2d,Spray Roses Sweet Sensation pink,Pink,Spray Roses Sweet Sensation
Anemone Mistral Plus Bordeaux Purple,9ba9513c-137a-44d3-9848-cb68de5d66ce,Anemone Mistral Plus Bordeaux (Burgundy / Purple) purple - multiple,Purple,Anemone Mistral Plus Bordeaux
Roses Sweet Unique Pink,0d0b2974-88cc-44f4-b26d-420e6188251a,Roses Sweet Unique pink,Pink,Roses Sweet Unique
Ranunculus Elegance Clementine Orange,3c71db7d-3544-4436-9155-7cf77fa511d1,Ranunculus Elegance Clementine orange,Orange,Ranunculus Elegance Clementine
Anemone Mistral Plus Mixed,025c7a39-eb9e-40a8-9840-493c9b0cc6e1,Anemone Mistral Plus Assorted mixed,Mixed,Anemone Mistral Plus
