mayesh_product_name,competitor_product_id,stem_length
Hypericum Rocky Romance Burgundy,485351,50.0
Hypericum Rocky Romance Burgundy,485352,60.0
Hypericum Royal Princess Peach,1032782,60.0
Hypericum Royal Princess Peach,1032783,70.0
Hypericum Sweet Romance Pink,661677,50.0
Hypericum Sweet Romance Pink,661679,60.0
Hypericum Sweet Romance Pink,642523,70.0
Hypericum True Romance Red,485371,50.0
Hypericum True Romance Red,485372,60.0
Hypericum White,485281,50.0
Hypericum White,485282,60.0
Hypericum White,485283,70.0
Iris Assorted,491454,
Iris Purple,7558744,
Iris Telstar Dark Blue,491467,
Iris White,7407079,
Kale Green,490601,
Kale Purple,490602,
Kale White,490600,
Kangaroo Paw Assorted,515958,
Kangaroo Paw Assorted,515958,
Kangaroo Paw Burgundy,515961,
Kangaroo Paw Green,515963,
Kangaroo Paw Orange,515964,
Kangaroo Paw Red,515967,
Kangaroo Paw Red/Orange,1219815,
Kangaroo Paw Yellow,515968,
Larkspur Assorted,513900,
Larkspur Assorted,513900,
Larkspur Pink,513904,
Larkspur Purple,513905,
Larkspur Purple,513905,
Larkspur White,491524,
Larkspur White,491524,
Leather Cleopatra Green,515987,
Leather Cleopatra Green,515987,
Leather Green,515986,
Leather Green,515986,
Leather Green,515986,
Leather Sleeved Green,1622072,
Lepidium Green Dragon Green,1166116,
Lepidium Green Dragon Green,1166116,
Leucadendron Safari Sunset Red,490592,
Leucadendron Safari Sunset Red,490592,
Leucadendron Safari Sunset Red,490592,
Leucospermum (Pincushion) Assorted,627847,
Leucospermum (Pincushion) Orange,627848,
Leucospermum (Pincushion) Red,627849,
Leucospermum (Pincushion) Yellow,627850,
Liatris Purple,490065,60.0
Liatris Purple,490065,60.0
Liatris Purple,490066,70.0
Liatris Purple,490066,70.0
Liatris Purple,490067,80.0
Liatris Purple,490063,90.0
Lily Asiatic Assorted,490703,
Lily Asiatic Assorted,490703,
Lily Asiatic Light Pink,490707,
Lily Asiatic Orange,490708,
Lily Asiatic Orange,490708,
Lily Asiatic Pink,490710,
Lily Asiatic Pink,490710,
Lily Asiatic White,490712,
Lily Asiatic White,490712,
Lily Asiatic Yellow,490713,
Lily Asiatic Yellow,490713,
Lily Grass Green,513937,
Lily Grass Green,513937,
Lily Grass Green,513937,
Lily Grass Variegated,513938,
Lily Grass Variegated,513938,
Lily Grass Variegated,513938,
Lily Oriental Siberia White 3/5b,490879,3.0
Lily Oriental Sorbonne Light Pink 3/5b,490887,3.0
Lily Oriental Star Fighter Pink/White 3/5b,490891,3.0
Lily Oriental Star Fighter Pink/White 3/5b,490891,3.0
Lily Oriental White 3/5b,490750,3.0
Lily Oriental White 3/5b,490750,3.0
Lily Oriental Yellow 3/5b,490751,3.0
Lily Roselily Pink,490807,
Lily Roselily White,1810941,
Limonium California Blue,828525,
Limonium Maine Blue Blue,490070,
Limonium Misty Blue Blue,490072,
Limonium Oshi Pink,1746303,
Limonium Pina Colada White,1086944,
Limonium Sinensis Assorted Select,513133,
Limonium Sinensis Lavender,3456319,
Limonium Sinensis Pink,491197,
Limonium Sinensis White,491196,
Limonium Sinensis Yellow Select,509461,
Limonium Skylight Light Blue,640268,70.0
Lisianthus Assorted,513965,
Lisianthus Peach,513973,
Lisianthus Pink,490606,
Lisianthus Purple,490605,
Lisianthus White,490607,
Lysimachia White,666519,60.0
Lysimachia White,666519,60.0
Ming Fern Green,512626,
Ming Fern Green,512626,
Mini Carnation Assorted,485388,
Mini Carnation Burgundy,485389,
Mini Carnation Cream,485390,
Mini Carnation Green,485392,
Mini Carnation Hot Pink,485393,
Mini Carnation Lavender,485394,
Mini Carnation Light Pink,485395,
Mini Carnation Orange,485396,
Mini Carnation Peach,485397,
Mini Carnation Peppermint,485398,
Mini Carnation Pink,485399,
Mini Carnation Purple,485400,
Mini Carnation Red,485401,
Mini Carnation White,485406,
Mini Carnation Yellow,485407,
Moss Spanish Gray,516155,
Mum Astroid Yellow,1225558,
Mum Magnum White,885265,
Mum Magnum Yellow Yellow,1457842,
Myersii (Foxtail Fern) Green,516164,
Myersii (Foxtail Fern) Green,516164,
Nagi Foliage Green,516169,
Nagi Foliage Green,516169,
Ornithogalum Thyrsoides White Medium,485431,
Palm Leaf Palmetto Green,516203,
Palm Leaf Roebelinii Green,516208,
Papyrus Lion's Head Green,516217,
Phlox White,490073,
Pistachio Foliage Green,1195880,
Pittosporum Brillantina Green,1219050,
Pittosporum Green,627860,
Pittosporum Green,627860,
Pittosporum Variegated,627861,
Pittosporum Variegated,627861,
"Plant Succulent Assorted 2.5""",2584753,2.0
"Plant Succulent Assorted 3.5""",516277,3.0
Plumosa Green,491529,
Plumosa Green,491529,
Pod Scabiosa Brown,517626,
Pompon Button Assorted,485436,
Pompon Button Becky Light Fuchsia,942304,
Pompon Button Eagle White,2013242,
Pompon Button Green,485440,
Pompon Button Paintball Sunny Yellow,2013245,
Pompon Button Purple,485444,
Pompon Button Uva Purple,886695,
Pompon CDN Assorted,485451,
Pompon Cushion Artic Queen White,886674,
Pompon Cushion Maisy White,1012357,
Pompon Cushion Paulina Dark Purple,940996,
Pompon Cushion Rock Red,832399,
Pompon Cushion Tornado Purple,1089903,
Pompon Cushion White,485466,
Pompon Cushion Yellow,485467,
Pompon Daisy Alma White,2008684,
Pompon Daisy Assorted,485468,
