created_at,eta_date,state,competitor,grower_name,grower_country,competitor_product_id,competitor_product_name,competitor_product_group_name,competitor_product_group_id,product_group_key,variety_key,stem_length,color_name,competitor_product_url,competitor_product_image,available_units,stems_per_unit,stem_price,unit_price,base_price,freight_price,margin
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,513364,Amaranthus Upright Red,Amaranthus,491,83a8817f-88b8-45a9-bc11-f9e3868e1882,,,Red,https://www.mayesh.com/amaranthus-upright-red,https://www.mayesh.com/backend/files/flowers/amaranthus-upright-red.jpg,0,10,19.72,197.2,9.17,5.05,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,513365,Anemone Assorted,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Assorted,https://www.mayesh.com/anemone-assorted,https://www.mayesh.com/backend/files/flowers/anemone-assorted.jpg,10,120,1.73,207.6,0.93,0.25,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Agricola El Chaupi,Ecuador,513375,Anemone Black Center White,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,White,https://www.mayesh.com/anemone-black-center-white,https://www.mayesh.com/backend/files/flowers/anemone-black-center-white.jpg,7,120,1.89,226.8,1.03,0.25,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,513367,Anemone Blue,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Blue,https://www.mayesh.com/anemone-blue,https://www.mayesh.com/backend/files/flowers/anemone-blue.jpg,10,120,1.73,207.6,0.93,0.25,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,513366,Anemone Blush,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,a99f8cb1-25b5-4568-af1c-7b3dcd9c2dde,,Blush,https://www.mayesh.com/anemone-blush,https://www.mayesh.com/backend/files/flowers/anemone-blush.jpg,10,120,1.73,207.6,0.93,0.25,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Rosaprima,Ecuador,12983878,Anemone Levante Blue,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Blue,https://www.mayesh.com/anemone-levante-blue,https://www.mayesh.com/backend/files/flowers/anemone_levante_blue_1.jpg,10,120,1.68,201.6,0.95,0.16,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Rosaprima,Ecuador,12983873,Anemone Levante Fuchsia,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Fuchsia,https://www.mayesh.com/anemone-levante-fuchsia,https://www.mayesh.com/backend/files/flowers/anemone_levante_fucsia_1.jpg,10,120,1.68,201.6,0.95,0.16,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Rosaprima,Ecuador,12983877,Anemone Levante Pink,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Pink,https://www.mayesh.com/anemone-levante-pink,https://www.mayesh.com/backend/files/flowers/anemone_levante_pink_1.jpg,0,120,1.68,201.6,0.95,0.16,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Rosaprima,Ecuador,12983905,Anemone Levante Red,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Red,https://www.mayesh.com/anemone-levante-red,https://www.mayesh.com/backend/files/flowers/anemone_levante_red_1.jpg,4,120,1.68,201.6,0.95,0.16,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,Rosaprima,Ecuador,12983858,Anemone Levante White,Anemone,495,0b6221f4-9306-4e15-9949-d403524c3a7d,,,White,https://www.mayesh.com/anemone-levante-white,https://www.mayesh.com/backend/files/flowers/anemone_levante_white_1.jpg,4,120,1.68,201.6,0.95,0.16,37.5
2025-03-28,2025-04-08,Kentucky,Mayesh,,Ecuador,3912336,Anemone Mistral Bordeaux Burgundy,Anemone Mistral,496,0b6221f4-9306-4e15-9949-d403524c3a7d,,,Burgundy,https://www.mayesh.com/anemone-mistral-bordeaux-burgundy,https://www.mayesh.com/backend/files/flowers/anemone_mistral_bordeaux_burgundy.jpg,3,120,1.89,226.8,1.03,0.25,37.5
