competitor,competitor_product_group_name,competitor_product_id,competitor_product_name,created_at,eta_date,grower_country,product_group_key,stem_length,stem_price,unit,variety_key
Flowermarketplace,Green,2162221,ARALIA II,2025-04-17,2025-04-29,Italy,unmapped,,0.6,Stems,
Flowermarketplace,Green,2162222,ARALIA III,2025-04-17,2025-04-29,Italy,unmapped,,0.57,Stems,
Flowermarketplace,Green,2162223,ARALIA IV,2025-04-17,2025-04-29,Italy,unmapped,,0.49,Stems,
Flowermarketplace,Green,2162218,ARALIA SUPER,2025-04-17,2025-04-29,Italy,unmapped,,1.23,Stems,
Flowermarketplace,Orchid,2177154,ARANTHERA ANNE BLACK,2025-04-17,2025-04-29,Thailand,unmapped,,30.16,Bunch,bd1a20cb-d4f3-469e-abc6-e31d7af52723
Flowermarketplace,Orchid,2177155,ARANTHERA AZIMAH,2025-04-17,2025-04-29,Thailand,unmapped,,36.66,Bunch,
Flowermarketplace,Orchid,2177156,ARANTHERA JAME RED,2025-04-17,2025-04-29,Thailand,unmapped,,30.16,Bunch,3262b0be-a494-4d33-ac03-a4b3e5f08b3f
Flowermarketplace,Orchid,2177157,ARANTHERA MAGIE OIE,2025-04-17,2025-04-29,Thailand,unmapped,,30.16,Bunch,
Flowermarketplace,Asparagus,2272583,ASPARAGUS PLUMOSUM DYED LIGHT PINK,2025-04-17,2025-04-29,Holland,,45,1.63,Stems,
Flowermarketplace,Asparagus,2272584,ASPARAGUS PLUMOSUM DYED LIGHT PINK,2025-04-17,2025-04-29,Holland,,45,1.48,Stems,
Flowermarketplace,Asparagus,2272585,ASPARAGUS PLUMOSUM DYED M-DAY ASSORTED,2025-04-17,2025-04-29,Holland,,45,1.63,Stems,
Flowermarketplace,Asparagus,2272586,ASPARAGUS PLUMOSUM DYED M-DAY ASSORTED,2025-04-17,2025-04-29,Holland,,45,1.48,Stems,
Flowermarketplace,Asparagus,2272587,ASPARAGUS PLUMOSUM DYED RED,2025-04-17,2025-04-29,Holland,,45,1.63,Stems,
Flowermarketplace,Asparagus,2272589,ASPARAGUS PLUMOSUM DYED RED,2025-04-17,2025-04-29,Holland,,45,1.48,Stems,
Flowermarketplace,Asparagus,2272591,ASPARAGUS PLUMOSUM DYED WHITE,2025-04-17,2025-04-29,Holland,,45,1.63,Stems,
Flowermarketplace,Asparagus,2272593,ASPARAGUS PLUMOSUM DYED WHITE,2025-04-17,2025-04-29,Holland,,45,1.48,Stems,
Flowermarketplace,Green,2162224,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,100,1.43,Stems,
Flowermarketplace,Green,2162230,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,40,0.06,Stems,
Flowermarketplace,Green,2162229,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,50,0.66,Stems,
Flowermarketplace,Green,2162228,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,60,0.71,Stems,
Flowermarketplace,Green,2162227,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,70,1.03,Stems,
Flowermarketplace,Green,2162226,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,80,1.11,Stems,
Flowermarketplace,Green,2162225,ASPIDISTRIA,2025-04-17,2025-04-29,Italy,unmapped,90,1.17,Stems,
Flowermarketplace,Aster,2206439,ASTER MATSUMOTO HOT PINK,2025-04-17,2025-04-29,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,14.26,Bunch,
Flowermarketplace,Aster,2206440,ASTER MATSUMOTO PINK,2025-04-17,2025-04-29,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,14.26,Bunch,
Flowermarketplace,Aster,2206442,ASTER PINK,2025-04-17,2025-04-29,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,8.23,Bunch,
Flowermarketplace,Aster,2206444,ASTER PURPLE,2025-04-17,2025-04-29,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,8.23,Bunch,
Flowermarketplace,Aster,2206446,ASTER SOLIDAGO,2025-04-17,2025-04-29,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,8.23,Bunch,
Flowermarketplace,Aster,2206448,ASTER WHITE,2025-04-17,2025-04-29,Ecuador,edf288cd-9ad2-4367-8fe3-2d47494ab2f9,,8.23,Bunch,
Flowermarketplace,Astilbe,2272595,ASTILBE ASSORTED EUROPA-WASHINGTON,2025-04-17,2025-04-29,Holland,,50,2.38,Stems,
Flowermarketplace,Astilbe,2272597,ASTILBE ASSORTED EUROPA-WASHINGTON,2025-04-17,2025-04-29,Holland,,50,2.23,Stems,
Flowermarketplace,Astilbe,2272599,ASTILBE EUROPA,2025-04-17,2025-04-29,Holland,,50,2.38,Stems,
Flowermarketplace,Astilbe,2272601,ASTILBE EUROPA,2025-04-17,2025-04-29,Holland,,50,2.23,Stems,
Flowermarketplace,Astilbe,2272603,ASTILBE WASHINGTON,2025-04-17,2025-04-29,Holland,,50,2.38,Stems,
Flowermarketplace,Astilbe,2272605,ASTILBE WASHINGTON,2025-04-17,2025-04-29,Holland,,50,2.23,Stems,
Flowermarketplace,Tropical,2261200,BIRD OF PARADISE,2025-04-17,2025-04-29,Ecuador,unmapped,,1.88,Stems,
Flowermarketplace,Tropical,2207164,BOUQUET MEDIUM CONFETI,2025-04-17,2025-04-29,Ecuador,unmapped,,31.64,Bunch,
Flowermarketplace,Tropical,2207166,BOUQUET MEDIUM LUA PINK,2025-04-17,2025-04-29,Ecuador,unmapped,,31.64,Bunch,
Flowermarketplace,Tropical,2207168,BOUQUET MEDIUM MAUI,2025-04-17,2025-04-29,Ecuador,unmapped,,31.64,Bunch,
Flowermarketplace,Tropical,2207170,BOUQUET MEDIUM PARROT,2025-04-17,2025-04-29,Ecuador,unmapped,,31.64,Bunch,
Flowermarketplace,Tropical,2207172,BOUQUET MEDIUM RAINBOW,2025-04-17,2025-04-29,Ecuador,unmapped,,31.64,Bunch,
