ibf_variety,competitor_variety
b38833fc-ce8d-491b-8706-d06b7b06ed45,2157921
b38833fc-ce8d-491b-8706-d06b7b06ed45,2157923
b38833fc-ce8d-491b-8706-d06b7b06ed45,2157925
99b66806-4e0f-4655-a78f-ecf47b8c8ea9,2158033
99b66806-4e0f-4655-a78f-ecf47b8c8ea9,2158035
f14ad1b7-ce4b-457f-9f39-5ef3302382f6,2157771
f14ad1b7-ce4b-457f-9f39-5ef3302382f6,2157773
f14ad1b7-ce4b-457f-9f39-5ef3302382f6,2157775
3262b0be-a494-4d33-ac03-a4b3e5f08b3f,2177156
5eabad3a-d399-4e82-bc83-8c27c7341ab8,2177174
9543b07a-1958-4fb1-b397-d2d95adbd3e8,2192249
b42dc03d-b323-4929-b70c-1a62fc7522d9,2148526
d9443062-f397-4401-8224-8ace29c8ff43,2157957
d9443062-f397-4401-8224-8ace29c8ff43,2157959
d9443062-f397-4401-8224-8ace29c8ff43,2157961
c93bbc06-a172-494d-b352-4ad50f082de1,2160540
5ec5c22f-bd2c-4fb9-ad33-72c3df5ddced,2160966
acf50033-5f99-43eb-b747-6501997eee84,2160690
47b4fa4a-bd92-49f1-882b-991b1fb7e741,2161127
3bdcbab1-3fc7-4ded-8692-eff38909bf20,2161205
3f9450e9-d910-4e6b-aab7-c1c7be136b36,2160898
afae1454-294d-40a4-8f28-628f08616bdc,2161043
8d4d4465-d918-4275-aa9d-4a676bdd5bca,2161321
4a468a7b-8b6b-4a65-b2c4-a8f22ce15b52,2160972
14a3155a-6df8-412a-abc3-8401688ef1ed,2212125
ac7dc5a8-e6bf-4940-85e2-81eeaeeb7722,2160562
d7ffbf14-996d-4fbe-b265-7cd0b2e7774b,2161247
d69172f4-25b0-40cc-bffc-5171c33e3666,2162062
077bed46-6baa-4531-9623-389e15345499,2177175
9b3b3b44-682c-4e97-90bf-6d2214acbba4,2194380
3d4c44f3-0977-4ef1-bb56-79ba01376036,2177257
0b5aee06-c8d2-46a2-b8b0-875117cedb39,2157855
0b5aee06-c8d2-46a2-b8b0-875117cedb39,2157857
a70a033e-a2fb-4ce7-bc43-09bd3c3c049b,2161153
5d74d24b-603c-4bea-a471-8dcac605218c,2161375
e3dd5be7-cc36-4c77-8c6d-7861c1091d70,2160998
3b5b288d-68d5-474f-a6b7-6d6c343f7866,2161381
39a38fbb-f9ea-4d04-b933-05eb63097c3b,2177243
59ea30a0-6986-4fae-ae35-5561e6b611ec,2261269
c4fc0cd4-b405-44ea-bb9b-145df6df9ed6,2160660
4266cd64-74da-4cb5-8428-2a8c1d542e42,2160904
c520db4e-fd3e-46c3-b6f6-9481473c62d1,2158488
2f900fd8-a318-4ce4-b4b8-3b912d3e4f52,2160764
0ca388df-72aa-409c-b9b8-2020f78900e3,2160992
13dc59bb-fe49-454f-bf15-40c0655ef9ce,2157849
13dc59bb-fe49-454f-bf15-40c0655ef9ce,2157851
13dc59bb-fe49-454f-bf15-40c0655ef9ce,2157853
04ae416e-dc35-4544-ba77-1c434c7afbcf,2158438
38da837a-b9b8-4ddb-a956-8dd1416f84b5,2158107
38da837a-b9b8-4ddb-a956-8dd1416f84b5,2158109
94c3d990-6b90-4f4e-98ad-483e95671b73,2158408
218ecc71-18b0-4322-bb49-9ccb63f38dfd,2157753
218ecc71-18b0-4322-bb49-9ccb63f38dfd,2157755
218ecc71-18b0-4322-bb49-9ccb63f38dfd,2157757
64bec08c-0a46-4da1-8492-5a0cb90ecc98,2157777
64bec08c-0a46-4da1-8492-5a0cb90ecc98,2157779
64bec08c-0a46-4da1-8492-5a0cb90ecc98,2157781
97871982-673d-443f-8dc5-10b2f9e1e84d,2160650
481c977c-ffb3-4bfc-bf7b-2bb22fc7a68f,2177165
83aa6d12-12a3-4af0-a5de-ebd5a5a5007c,2177186
167fe567-78f4-4b55-aeb2-d53e95aafd7b,2180537
